play_session_id,user_id,start_datetime,end_datetime,channel_code,status_code,total_score
19,101,2024-04-30T20:12:04.051-06:00,2024-05-01T04:06:04.051-06:00,BROWSER,COMPLETED,1856
20,178,2024-01-12T11:49:43.814-06:00,2024-01-12T19:45:43.814-06:00,BROWSER,ABORTED,4977
21,305,2024-03-03T10:31:28.212-06:00,2024-03-03T15:44:28.212-06:00,BROWSER,COMPLETED,2542
22,261,2024-10-23T19:19:05.986-06:00,2024-10-23T19:56:05.986-06:00,MOBILE,TIMEOUT,4379
23,100,2024-02-17T14:54:32.328-06:00,2024-02-17T21:10:32.328-06:00,BROWSER,TIMEOUT,3643
24,173,2024-10-25T15:57:06.985-06:00,2024-10-25T23:28:06.985-06:00,MOBILE,ABORTED,761
25,66,2024-09-24T19:13:34.052-06:00,2024-09-24T21:16:34.052-06:00,BROWSER,COMPLETED,4793
26,252,2024-10-27T02:53:12.477-06:00,2024-10-27T05:05:12.477-06:00,BROWSER,TIMEOUT,1062
27,251,2024-01-24T12:32:13.510-06:00,2024-01-24T13:22:13.510-06:00,MOBILE,COMPLETED,235
28,105,2024-09-17T19:18:42.706-06:00,2024-09-18T05:16:42.706-06:00,MOBILE,ABORTED,4883
29,339,2024-12-20T09:22:19.560-06:00,2024-12-20T09:33:19.560-06:00,MOBILE,COMPLETED,680
30,306,2024-09-24T11:29:45.131-06:00,2024-09-24T20:35:45.131-06:00,BROWSER,COMPLETED,1825
31,287,2024-03-04T13:45:54.829-06:00,2024-03-04T22:00:54.829-06:00,MOBILE,TIMEOUT,2127
32,225,2024-06-18T09:19:02.225-06:00,2024-06-18T15:36:02.225-06:00,MOBILE,ABORTED,696
33,366,2024-06-29T21:50:16.268-06:00,2024-06-29T23:45:16.268-06:00,BROWSER,TIMEOUT,3614
34,391,2024-10-07T15:38:27.417-06:00,2024-10-07T20:46:27.417-06:00,MOBILE,TIMEOUT,2464
35,484,2024-07-03T05:53:55.400-06:00,2024-07-03T14:51:55.400-06:00,BROWSER,COMPLETED,2352
36,343,2024-11-11T23:24:40.268-06:00,2024-11-12T07:37:40.268-06:00,BROWSER,COMPLETED,872
37,145,2024-12-22T02:51:39.212-06:00,2024-12-22T08:19:39.212-06:00,BROWSER,COMPLETED,4952
38,132,2024-08-01T13:18:29.334-06:00,2024-08-01T18:12:29.334-06:00,BROWSER,COMPLETED,3750
39,156,2024-11-21T06:08:33.562-06:00,2024-11-21T08:44:33.562-06:00,MOBILE,ABORTED,2273
40,25,2024-07-26T07:37:23.338-06:00,2024-07-26T11:51:23.338-06:00,BROWSER,COMPLETED,2081
41,266,2024-10-04T01:28:12.772-06:00,2024-10-04T09:06:12.772-06:00,MOBILE,TIMEOUT,2909
42,293,2024-03-29T07:49:20.432-06:00,2024-03-29T16:12:20.432-06:00,MOBILE,ABORTED,4537
43,424,2024-02-18T18:19:14.321-06:00,2024-02-18T20:19:14.321-06:00,MOBILE,TIMEOUT,4630
44,319,2024-07-12T08:33:47.505-06:00,2024-07-12T17:57:47.505-06:00,MOBILE,TIMEOUT,3985
45,183,2024-11-12T10:12:42.985-06:00,2024-11-12T13:59:42.985-06:00,BROWSER,ABORTED,1128
46,301,2024-02-10T13:38:00.583-06:00,2024-02-10T20:08:00.583-06:00,BROWSER,COMPLETED,2385
47,440,2024-06-12T19:16:59.881-06:00,2024-06-13T00:19:59.881-06:00,BROWSER,COMPLETED,4494
48,398,2024-04-30T14:32:46.112-06:00,2024-04-30T19:42:46.112-06:00,MOBILE,TIMEOUT,4080
49,132,2024-12-29T23:07:45.409-06:00,2024-12-30T03:03:45.409-06:00,MOBILE,COMPLETED,2469
50,3,2024-10-22T01:13:05.712-06:00,2024-10-22T08:57:05.712-06:00,BROWSER,COMPLETED,734
51,486,2024-07-22T03:11:09.831-06:00,2024-07-22T06:33:09.831-06:00,BROWSER,COMPLETED,692
52,131,2024-09-23T01:51:27.888-06:00,2024-09-23T08:37:27.888-06:00,MOBILE,TIMEOUT,483
53,131,2024-12-08T10:24:16.268-06:00,2024-12-08T15:52:16.268-06:00,BROWSER,COMPLETED,2528
54,385,2024-02-05T18:02:16.009-06:00,2024-02-05T23:52:16.009-06:00,BROWSER,COMPLETED,4697
55,159,2024-09-26T09:53:19.984-06:00,2024-09-26T18:50:19.984-06:00,BROWSER,ABORTED,561
56,299,2024-11-23T13:43:55.298-06:00,2024-11-23T17:45:55.298-06:00,MOBILE,ABORTED,3128
57,471,2024-08-04T15:56:58.067-06:00,2024-08-04T18:48:58.067-06:00,MOBILE,COMPLETED,1258
58,419,2024-12-08T08:18:18.975-06:00,2024-12-08T17:22:18.975-06:00,MOBILE,COMPLETED,4796
59,359,2024-01-30T01:10:33.605-06:00,2024-01-30T09:59:33.605-06:00,MOBILE,ABORTED,1196
60,259,2024-10-06T11:11:46.487-06:00,2024-10-06T18:30:46.487-06:00,BROWSER,ABORTED,4923
61,167,2024-11-07T17:27:54.401-06:00,2024-11-07T21:12:54.401-06:00,BROWSER,COMPLETED,1376
62,307,2024-03-12T15:52:11.168-06:00,2024-03-12T16:45:11.168-06:00,MOBILE,TIMEOUT,276
63,260,2024-01-30T12:17:49.549-06:00,2024-01-30T16:24:49.549-06:00,BROWSER,COMPLETED,2289
64,20,2024-08-26T10:59:00.072-06:00,2024-08-26T15:42:00.072-06:00,MOBILE,TIMEOUT,4182
65,189,2024-01-14T06:48:45.321-06:00,2024-01-14T08:42:45.321-06:00,MOBILE,TIMEOUT,2662
66,201,2024-11-04T05:57:16.661-06:00,2024-11-04T13:35:16.661-06:00,MOBILE,TIMEOUT,4745
67,419,2024-12-26T22:15:21.594-06:00,2024-12-27T05:14:21.594-06:00,BROWSER,TIMEOUT,1385
68,98,2024-09-23T09:48:14.908-06:00,2024-09-23T14:51:14.908-06:00,MOBILE,COMPLETED,718
69,159,2024-11-29T20:35:46.259-06:00,2024-11-30T06:26:46.259-06:00,MOBILE,COMPLETED,4064
70,199,2024-08-08T23:15:45.966-06:00,2024-08-09T06:36:45.966-06:00,BROWSER,COMPLETED,1185
71,68,2024-10-06T17:38:23.459-06:00,2024-10-06T22:25:23.459-06:00,MOBILE,COMPLETED,2592
72,131,2024-12-09T00:23:49.795-06:00,2024-12-09T03:17:49.795-06:00,MOBILE,TIMEOUT,1839
73,370,2024-03-17T02:48:09.219-06:00,2024-03-17T11:43:09.219-06:00,MOBILE,COMPLETED,4134
74,68,2024-11-11T14:18:42.482-06:00,2024-11-12T00:02:42.482-06:00,MOBILE,ABORTED,4734
75,438,2024-02-17T17:44:17.598-06:00,2024-02-17T20:44:17.598-06:00,MOBILE,ABORTED,1181
76,144,2024-11-06T22:21:03.502-06:00,2024-11-07T04:45:03.502-06:00,BROWSER,COMPLETED,2648
77,9,2024-02-08T10:43:18.384-06:00,2024-02-08T16:03:18.384-06:00,MOBILE,TIMEOUT,2319
78,140,2024-12-21T14:01:36.341-06:00,2024-12-21T15:50:36.341-06:00,MOBILE,TIMEOUT,4868
79,149,2024-12-25T20:10:51.386-06:00,2024-12-26T01:41:51.386-06:00,BROWSER,COMPLETED,3524
80,188,2024-04-17T00:58:52.279-06:00,2024-04-17T05:39:52.279-06:00,MOBILE,TIMEOUT,2937
81,375,2024-07-13T02:31:27.900-06:00,2024-07-13T08:37:27.900-06:00,MOBILE,COMPLETED,793
82,258,2024-10-13T11:15:06.485-06:00,2024-10-13T18:12:06.485-06:00,BROWSER,TIMEOUT,1051
83,400,2024-08-20T01:38:05.505-06:00,2024-08-20T05:48:05.505-06:00,MOBILE,ABORTED,2501
84,138,2024-05-26T21:16:24.939-06:00,2024-05-26T21:57:24.939-06:00,BROWSER,ABORTED,433
85,274,2024-03-23T08:41:39.403-06:00,2024-03-23T10:32:39.403-06:00,MOBILE,ABORTED,3192
86,269,2024-12-30T04:34:17.339-06:00,2024-12-30T11:48:17.339-06:00,MOBILE,TIMEOUT,4758
87,279,2024-09-25T18:50:48.744-06:00,2024-09-26T04:33:48.744-06:00,MOBILE,ABORTED,4815
88,308,2024-10-30T09:34:54.465-06:00,2024-10-30T10:47:54.465-06:00,MOBILE,ABORTED,2294
89,210,2024-04-07T05:03:37.500-06:00,2024-04-07T12:23:37.500-06:00,BROWSER,COMPLETED,1307
90,489,2024-05-21T19:59:55.306-06:00,2024-05-21T23:11:55.306-06:00,BROWSER,TIMEOUT,1146
91,127,2024-08-20T21:05:24.126-06:00,2024-08-21T05:21:24.126-06:00,BROWSER,TIMEOUT,3440
92,422,2024-11-01T20:30:21.857-06:00,2024-11-02T03:36:21.857-06:00,BROWSER,TIMEOUT,4819
93,46,2024-05-30T07:49:21.486-06:00,2024-05-30T07:57:21.486-06:00,MOBILE,ABORTED,1095
94,73,2024-02-28T08:35:40.578-06:00,2024-02-28T10:43:40.578-06:00,BROWSER,ABORTED,2691
95,330,2024-01-15T15:42:06.737-06:00,2024-01-15T23:20:06.737-06:00,MOBILE,COMPLETED,4830
96,343,2024-11-19T03:20:55.348-06:00,2024-11-19T09:04:55.348-06:00,MOBILE,COMPLETED,1009
97,89,2024-06-20T13:43:50.596-06:00,2024-06-20T14:25:50.596-06:00,MOBILE,COMPLETED,3898
98,420,2024-01-24T02:40:22.195-06:00,2024-01-24T05:47:22.195-06:00,BROWSER,COMPLETED,2614
99,313,2024-10-16T20:27:21.411-06:00,2024-10-17T05:18:21.411-06:00,MOBILE,ABORTED,4957
100,333,2024-05-06T22:41:11.882-06:00,2024-05-07T06:23:11.882-06:00,BROWSER,COMPLETED,4229
101,109,2024-07-27T23:56:02.919-06:00,2024-07-28T07:10:02.919-06:00,BROWSER,COMPLETED,1891
102,381,2024-02-11T22:37:40.079-06:00,2024-02-12T01:08:40.079-06:00,BROWSER,ABORTED,1050
103,173,2024-12-16T05:34:31.439-06:00,2024-12-16T10:11:31.439-06:00,BROWSER,TIMEOUT,1438
104,222,2024-12-18T20:32:39.673-06:00,2024-12-18T21:39:39.673-06:00,BROWSER,ABORTED,2373
105,276,2024-11-30T08:26:27.920-06:00,2024-11-30T09:04:27.920-06:00,MOBILE,ABORTED,2372
106,500,2024-09-19T22:24:37.192-06:00,2024-09-20T05:40:37.192-06:00,BROWSER,TIMEOUT,1842
107,86,2024-10-02T04:41:22.205-06:00,2024-10-02T10:31:22.205-06:00,MOBILE,COMPLETED,1785
108,50,2024-09-23T22:29:18.360-06:00,2024-09-24T06:01:18.360-06:00,MOBILE,ABORTED,1170
109,179,2024-08-19T09:31:33.940-06:00,2024-08-19T13:26:33.940-06:00,BROWSER,ABORTED,1716
110,81,2024-08-01T02:52:58.208-06:00,2024-08-01T12:41:58.208-06:00,BROWSER,COMPLETED,859
111,392,2024-10-16T22:46:16.300-06:00,2024-10-17T03:38:16.300-06:00,BROWSER,COMPLETED,640
112,195,2024-06-29T07:00:12.004-06:00,2024-06-29T07:53:12.004-06:00,BROWSER,COMPLETED,3863
113,145,2024-12-27T08:24:42.416-06:00,2024-12-27T16:19:42.416-06:00,MOBILE,TIMEOUT,3338
114,288,2024-02-06T13:09:55.901-06:00,2024-02-06T14:37:55.901-06:00,MOBILE,ABORTED,4413
115,307,2024-06-12T19:21:15.943-06:00,2024-06-13T01:11:15.943-06:00,BROWSER,COMPLETED,3710
116,126,2024-11-20T22:12:29.568-06:00,2024-11-21T02:31:29.568-06:00,BROWSER,ABORTED,3504
117,220,2024-03-12T04:21:31.596-06:00,2024-03-12T12:24:31.596-06:00,MOBILE,ABORTED,1303
118,418,2024-06-26T10:33:16.725-06:00,2024-06-26T11:37:16.725-06:00,MOBILE,COMPLETED,772
119,401,2024-05-25T01:22:43.518-06:00,2024-05-25T01:59:43.518-06:00,MOBILE,ABORTED,2038
120,34,2024-09-27T12:30:42.793-06:00,2024-09-27T21:50:42.793-06:00,BROWSER,ABORTED,2854
121,313,2024-12-20T05:47:50.251-06:00,2024-12-20T11:16:50.251-06:00,BROWSER,TIMEOUT,4128
122,302,2024-06-18T05:47:26.230-06:00,2024-06-18T09:30:26.230-06:00,MOBILE,ABORTED,214
123,167,2024-12-16T09:22:00.731-06:00,2024-12-16T12:10:00.731-06:00,MOBILE,COMPLETED,2542
124,134,2024-09-25T20:03:10.865-06:00,2024-09-26T03:36:10.865-06:00,MOBILE,TIMEOUT,2201
125,288,2024-08-27T21:58:42.176-06:00,2024-08-28T05:42:42.176-06:00,BROWSER,ABORTED,2948
126,252,2024-11-17T04:48:00.344-06:00,2024-11-17T08:09:00.344-06:00,MOBILE,COMPLETED,3328
127,88,2024-07-10T18:56:42.681-06:00,2024-07-11T03:44:42.681-06:00,BROWSER,TIMEOUT,4809
128,240,2024-01-12T05:30:10.875-06:00,2024-01-12T12:26:10.875-06:00,BROWSER,COMPLETED,3515
129,369,2024-10-10T15:44:13.376-06:00,2024-10-10T19:09:13.376-06:00,BROWSER,TIMEOUT,551
130,207,2024-10-24T06:57:56.734-06:00,2024-10-24T09:27:56.734-06:00,BROWSER,TIMEOUT,1961
131,114,2024-07-19T16:28:05.883-06:00,2024-07-19T20:22:05.883-06:00,BROWSER,COMPLETED,1092
132,412,2024-09-10T08:07:07.170-06:00,2024-09-10T15:41:07.170-06:00,MOBILE,ABORTED,2892
133,401,2024-12-01T06:52:45.948-06:00,2024-12-01T07:13:45.948-06:00,BROWSER,ABORTED,461
134,211,2024-10-09T17:41:57.180-06:00,2024-10-09T18:55:57.180-06:00,BROWSER,COMPLETED,4057
135,407,2024-06-07T14:34:40.309-06:00,2024-06-07T23:11:40.309-06:00,MOBILE,ABORTED,2673
136,234,2024-06-01T21:18:12.285-06:00,2024-06-01T22:18:12.285-06:00,BROWSER,ABORTED,4816
137,278,2024-05-17T15:29:48.603-06:00,2024-05-17T20:04:48.603-06:00,MOBILE,ABORTED,4265
138,270,2024-01-21T09:18:13.326-06:00,2024-01-21T16:21:13.326-06:00,BROWSER,TIMEOUT,2708
139,163,2024-05-21T15:37:32.076-06:00,2024-05-21T19:35:32.076-06:00,MOBILE,TIMEOUT,3929
140,301,2024-10-05T06:14:39.717-06:00,2024-10-05T12:05:39.717-06:00,BROWSER,ABORTED,3016
141,307,2024-12-17T15:18:57.327-06:00,2024-12-17T20:03:57.327-06:00,BROWSER,COMPLETED,4619
142,434,2024-10-21T15:19:21.743-06:00,2024-10-21T20:35:21.743-06:00,BROWSER,COMPLETED,4213
143,201,2024-12-12T22:52:44.055-06:00,2024-12-12T23:46:44.055-06:00,BROWSER,ABORTED,1079
144,207,2024-11-30T14:15:20.742-06:00,2024-11-30T16:24:20.742-06:00,BROWSER,ABORTED,1702
145,96,2024-01-22T01:56:07.370-06:00,2024-01-22T09:22:07.370-06:00,BROWSER,ABORTED,711
146,441,2024-05-09T05:06:42.530-06:00,2024-05-09T10:30:42.530-06:00,MOBILE,COMPLETED,1200
147,34,2024-12-02T13:09:07.594-06:00,2024-12-02T18:22:07.594-06:00,BROWSER,COMPLETED,3151
148,41,2024-04-17T00:28:11.962-06:00,2024-04-17T05:04:11.962-06:00,MOBILE,ABORTED,3049
149,221,2024-05-01T03:04:21.055-06:00,2024-05-01T08:15:21.055-06:00,MOBILE,COMPLETED,2689
150,25,2024-09-06T15:14:06.894-06:00,2024-09-06T18:50:06.894-06:00,BROWSER,TIMEOUT,3583
151,474,2024-06-16T08:35:54.944-06:00,2024-06-16T14:56:54.944-06:00,BROWSER,ABORTED,4199
152,431,2024-10-26T16:37:21.879-06:00,2024-10-26T22:40:21.879-06:00,BROWSER,TIMEOUT,4928
153,390,2024-11-06T00:12:23.727-06:00,2024-11-06T04:27:23.727-06:00,BROWSER,TIMEOUT,258
154,402,2024-07-06T12:10:57.021-06:00,2024-07-06T13:27:57.021-06:00,BROWSER,ABORTED,4213
155,274,2024-10-31T02:46:56.259-06:00,2024-10-31T06:55:56.259-06:00,MOBILE,TIMEOUT,2731
156,31,2024-09-11T20:50:51.766-06:00,2024-09-12T04:45:51.766-06:00,BROWSER,TIMEOUT,2941
157,418,2024-09-06T19:07:05.119-06:00,2024-09-06T21:06:05.119-06:00,BROWSER,COMPLETED,4460
158,341,2024-01-07T04:06:27.410-06:00,2024-01-07T06:15:27.410-06:00,BROWSER,ABORTED,1390
159,118,2024-12-18T10:54:01.078-06:00,2024-12-18T11:58:01.078-06:00,BROWSER,COMPLETED,2164
160,104,2024-11-02T08:44:40.086-06:00,2024-11-02T09:47:40.086-06:00,MOBILE,ABORTED,1211
161,73,2024-03-12T18:13:21.028-06:00,2024-03-12T21:34:21.028-06:00,MOBILE,ABORTED,2054
162,31,2024-12-08T16:07:50.456-06:00,2024-12-08T16:50:50.456-06:00,BROWSER,COMPLETED,546
163,287,2024-10-30T03:45:05.659-06:00,2024-10-30T10:53:05.659-06:00,MOBILE,COMPLETED,1764
164,305,2024-06-08T20:48:56.823-06:00,2024-06-09T04:00:56.823-06:00,MOBILE,TIMEOUT,3633
165,41,2024-10-29T22:21:48.441-06:00,2024-10-30T04:32:48.441-06:00,MOBILE,TIMEOUT,3386
166,499,2024-09-23T19:10:09.681-06:00,2024-09-24T03:23:09.681-06:00,MOBILE,COMPLETED,1608
167,310,2024-02-10T20:49:02.800-06:00,2024-02-10T21:49:02.800-06:00,MOBILE,COMPLETED,1831
168,476,2024-08-19T08:23:55.487-06:00,2024-08-19T12:02:55.487-06:00,MOBILE,TIMEOUT,276
170,297,2024-08-15T22:27:18.939-06:00,2024-08-16T01:53:18.939-06:00,MOBILE,COMPLETED,2036
171,241,2024-11-26T19:15:07.282-06:00,2024-11-26T20:51:07.282-06:00,MOBILE,ABORTED,2125
172,333,2024-10-26T11:39:28.045-06:00,2024-10-26T17:38:28.045-06:00,BROWSER,COMPLETED,2570
173,253,2024-11-01T20:12:58.700-06:00,2024-11-01T21:54:58.700-06:00,BROWSER,TIMEOUT,1126
174,410,2024-06-19T15:28:48.122-06:00,2024-06-20T01:18:48.122-06:00,BROWSER,ABORTED,564
175,447,2024-06-06T19:07:30.936-06:00,2024-06-07T00:52:30.936-06:00,MOBILE,TIMEOUT,764
176,496,2024-01-29T19:30:37.110-06:00,2024-01-30T04:09:37.110-06:00,BROWSER,ABORTED,3987
177,408,2024-12-16T11:07:50.837-06:00,2024-12-16T17:17:50.837-06:00,BROWSER,ABORTED,2506
178,460,2024-08-05T19:51:13.458-06:00,2024-08-05T20:02:13.458-06:00,BROWSER,TIMEOUT,4515
179,367,2024-06-29T18:53:53.877-06:00,2024-06-30T01:54:53.877-06:00,BROWSER,ABORTED,4016
180,110,2024-03-28T13:58:10.051-06:00,2024-03-28T23:44:10.051-06:00,MOBILE,ABORTED,2975
181,159,2024-12-20T00:01:39.796-06:00,2024-12-20T06:55:39.796-06:00,MOBILE,ABORTED,746
182,59,2024-10-16T22:26:10.932-06:00,2024-10-17T01:49:10.932-06:00,BROWSER,TIMEOUT,300
183,408,2024-12-21T18:58:36.593-06:00,2024-12-21T19:06:36.593-06:00,BROWSER,ABORTED,1073
184,184,2024-11-17T11:49:13.317-06:00,2024-11-17T13:54:13.317-06:00,BROWSER,COMPLETED,145
185,137,2024-07-24T06:26:03.537-06:00,2024-07-24T07:52:03.537-06:00,MOBILE,ABORTED,4095
186,209,2024-11-27T15:40:07.846-06:00,2024-11-27T23:34:07.846-06:00,MOBILE,COMPLETED,3675
187,345,2024-05-20T02:52:11.132-06:00,2024-05-20T12:11:11.132-06:00,MOBILE,COMPLETED,3170
188,443,2024-12-27T15:21:34.150-06:00,2024-12-27T22:42:34.150-06:00,MOBILE,COMPLETED,4877
189,281,2024-09-23T08:19:19.681-06:00,2024-09-23T15:47:19.681-06:00,BROWSER,TIMEOUT,3069
190,454,2024-02-09T16:01:22.872-06:00,2024-02-09T19:45:22.872-06:00,MOBILE,COMPLETED,654
191,446,2024-07-15T05:34:12.134-06:00,2024-07-15T12:51:12.134-06:00,MOBILE,ABORTED,3637
192,398,2024-07-02T06:59:31.962-06:00,2024-07-02T08:46:31.962-06:00,MOBILE,TIMEOUT,396
193,265,2024-05-22T03:50:23.442-06:00,2024-05-22T07:40:23.442-06:00,BROWSER,ABORTED,1473
194,107,2024-09-26T10:13:01.965-06:00,2024-09-26T17:13:01.965-06:00,BROWSER,ABORTED,3610
195,430,2024-02-18T14:17:02.527-06:00,2024-02-18T17:57:02.527-06:00,MOBILE,TIMEOUT,647
196,433,2024-08-31T17:45:48.400-06:00,2024-08-31T22:55:48.400-06:00,MOBILE,TIMEOUT,154
197,82,2024-04-23T10:29:08.508-06:00,2024-04-23T19:04:08.508-06:00,MOBILE,ABORTED,1806
198,319,2024-07-29T20:14:19.641-06:00,2024-07-29T21:25:19.641-06:00,MOBILE,TIMEOUT,3958
199,18,2024-10-19T15:46:59.689-06:00,2024-10-19T17:04:59.689-06:00,BROWSER,TIMEOUT,1587
200,327,2024-07-23T16:58:31.824-06:00,2024-07-23T23:34:31.824-06:00,BROWSER,TIMEOUT,585
201,297,2024-09-17T03:07:14.046-06:00,2024-09-17T05:48:14.046-06:00,MOBILE,COMPLETED,2628
202,495,2024-01-12T07:38:05.394-06:00,2024-01-12T11:30:05.394-06:00,BROWSER,TIMEOUT,2474
203,202,2024-01-03T16:23:44.577-06:00,2024-01-03T21:15:44.577-06:00,BROWSER,ABORTED,2228
204,387,2024-10-21T10:12:14.697-06:00,2024-10-21T15:55:14.697-06:00,BROWSER,COMPLETED,3165
205,13,2024-05-31T21:14:25.014-06:00,2024-06-01T02:31:25.014-06:00,MOBILE,ABORTED,362
206,341,2024-12-15T12:22:06.084-06:00,2024-12-15T20:35:06.084-06:00,BROWSER,ABORTED,1065
207,468,2024-11-07T08:55:32.893-06:00,2024-11-07T15:37:32.893-06:00,MOBILE,ABORTED,4687
208,211,2024-10-18T19:57:24.676-06:00,2024-10-19T00:07:24.676-06:00,MOBILE,ABORTED,1146
209,478,2024-09-05T05:30:31.767-06:00,2024-09-05T15:12:31.767-06:00,MOBILE,COMPLETED,4643
210,154,2024-05-08T10:38:33.484-06:00,2024-05-08T17:24:33.484-06:00,MOBILE,TIMEOUT,4382
211,360,2024-11-29T12:19:15.669-06:00,2024-11-29T21:58:15.669-06:00,BROWSER,TIMEOUT,4010
212,238,2024-07-15T19:52:32.124-06:00,2024-07-16T02:12:32.124-06:00,MOBILE,TIMEOUT,394
213,352,2024-05-24T23:56:17.056-06:00,2024-05-25T06:23:17.056-06:00,MOBILE,COMPLETED,3470
214,178,2024-09-10T17:19:49.141-06:00,2024-09-10T22:11:49.141-06:00,BROWSER,ABORTED,1428
215,208,2024-02-20T21:24:06.159-06:00,2024-02-21T05:32:06.159-06:00,MOBILE,ABORTED,2325
216,255,2024-02-10T13:06:42.922-06:00,2024-02-10T22:15:42.922-06:00,BROWSER,COMPLETED,186
217,365,2024-05-12T06:26:08.580-06:00,2024-05-12T11:20:08.580-06:00,BROWSER,ABORTED,1244
218,240,2024-05-11T12:58:53.244-06:00,2024-05-11T13:17:53.244-06:00,BROWSER,TIMEOUT,4192
219,125,2024-01-24T02:04:57.433-06:00,2024-01-24T11:43:57.433-06:00,MOBILE,COMPLETED,1408
220,173,2024-12-18T01:42:25.981-06:00,2024-12-18T06:40:25.981-06:00,MOBILE,ABORTED,2254
221,74,2024-04-27T19:53:42.365-06:00,2024-04-27T20:41:42.365-06:00,BROWSER,ABORTED,2788
222,55,2024-12-21T08:31:02.768-06:00,2024-12-21T11:03:02.768-06:00,MOBILE,TIMEOUT,4179
223,381,2024-09-28T08:29:25.881-06:00,2024-09-28T10:56:25.881-06:00,MOBILE,ABORTED,3457
224,247,2024-03-11T14:17:10.870-06:00,2024-03-11T21:10:10.870-06:00,MOBILE,COMPLETED,4653
225,38,2024-07-30T10:15:04.169-06:00,2024-07-30T16:15:04.169-06:00,MOBILE,ABORTED,978
226,439,2024-08-09T22:41:13.551-06:00,2024-08-10T07:42:13.551-06:00,MOBILE,COMPLETED,3912
227,427,2024-09-02T07:52:53.246-06:00,2024-09-02T15:04:53.246-06:00,MOBILE,ABORTED,1121
228,398,2024-10-05T21:08:08.901-06:00,2024-10-05T23:57:08.901-06:00,MOBILE,ABORTED,3151
229,95,2024-10-28T19:30:23.692-06:00,2024-10-29T01:15:23.692-06:00,BROWSER,ABORTED,1579
230,9,2024-11-29T01:32:38.945-06:00,2024-11-29T05:06:38.945-06:00,BROWSER,COMPLETED,3697
231,250,2024-01-19T16:55:39.083-06:00,2024-01-19T20:52:39.083-06:00,MOBILE,TIMEOUT,4246
232,185,2024-08-06T21:50:32.188-06:00,2024-08-07T04:41:32.188-06:00,MOBILE,COMPLETED,215
233,432,2024-04-27T14:41:56.071-06:00,2024-04-27T22:38:56.071-06:00,BROWSER,COMPLETED,4599
234,99,2024-10-21T15:46:39.790-06:00,2024-10-21T21:03:39.790-06:00,MOBILE,TIMEOUT,684
235,302,2024-07-29T05:56:36.487-06:00,2024-07-29T08:53:36.487-06:00,BROWSER,COMPLETED,2336
236,430,2024-07-23T02:25:10.067-06:00,2024-07-23T04:13:10.067-06:00,BROWSER,COMPLETED,1628
237,451,2024-02-27T21:16:09.166-06:00,2024-02-28T00:35:09.166-06:00,BROWSER,TIMEOUT,2517
238,466,2024-06-19T16:44:19.103-06:00,2024-06-20T00:25:19.103-06:00,MOBILE,TIMEOUT,234
239,388,2024-01-28T20:22:14.785-06:00,2024-01-28T23:31:14.785-06:00,BROWSER,ABORTED,2963
240,22,2024-04-25T18:14:26.707-06:00,2024-04-25T19:51:26.707-06:00,MOBILE,ABORTED,1052
241,460,2024-12-19T20:15:07.512-06:00,2024-12-20T02:05:07.512-06:00,MOBILE,COMPLETED,4408
